low_20        1.000000   0.000000         0    500000       180000       180000
high_20       1.000000   0.000000         0    500000       360000       180000
low_20        1.000000   0.000000    500000   1000000       680000       180000
high_20       1.000000   0.000000    500000   1000000       860000       180000
low_10        1.000000   0.000000         0   1000000       900000       180000
low_20        1.000000   0.000000   1000000   1500000      1180000       180000
high_20       1.000000   0.000000   1000000   1500000      1360000       180000
low_20        1.000000   0.000000   1500000   2000000      1680000       180000
high_20       1.000000   0.000000   1500000   2000000      1860000       180000
low_10        1.000000   0.000000   1000000   2000000      1900000       180000
high_10       1.000000   0.000000         0   1000000      1980000       180000
low_20        1.000000   0.000000   2000000   2500000      2180000       180000
high_20       1.000000   0.000000   2000000   2500000      2360000       180000
low_20        1.000000   0.000000   2500000   3000000      2680000       180000
high_20       1.000000   0.000000   2500000   3000000      2860000       180000
low_10        1.000000   0.000000   2000000   3000000      2900000       180000
low_20        1.000000   0.000000   3000000   3500000      3180000       180000
high_20       1.000000   0.000000   3000000   3500000      3360000       180000
low_20        1.000000   0.000000   3500000   4000000      3680000       180000
high_20       1.000000   0.000000   3500000   4000000      3860000       180000
low_10        1.000000   0.000000   3000000   4000000      3900000       180000
high_10       1.000000   0.000000   1000000   2000000      3960000       180000
low_20        1.000000   0.000000   4000000   4500000      4180000       180000
high_20       1.000000   0.000000   4000000   4500000      4360000       180000
low_20        1.000000   0.000000   4500000   5000000      4680000       180000
high_20       1.000000   0.000000   4500000   5000000      4860000       180000
low_10        1.000000   0.000000   4000000   5000000      4900000       180000
low_20        1.000000   0.000000   5000000   5500000      5180000       180000
high_20       1.000000   0.000000   5000000   5500000      5360000       180000
low_20        1.000000   0.000000   5500000   6000000      5680000       180000
high_20       1.000000   0.000000   5500000   6000000      5860000       180000
low_10        1.000000   0.000000   5000000   6000000      5900000       180000
high_10       1.000000   0.000000   2000000   3000000      5940000       180000
low_20        1.000000   0.000000   6000000   6500000      6180000       180000
high_20       1.000000   0.000000   6000000   6500000      6360000       180000
low_20        1.000000   0.000000   6500000   7000000      6680000       180000
high_20       1.000000   0.000000   6500000   7000000      6860000       180000
low_10        1.000000   0.000000   6000000   7000000      6900000       180000
low_20        1.000000   0.000000   7000000   7500000      7180000       180000
high_20       1.000000   0.000000   7000000   7500000      7360000       180000
low_20        1.000000   0.000000   7500000   8000000      7680000       180000
high_20       1.000000   0.000000   7500000   8000000      7860000       180000
low_10        1.000000   0.000000   7000000   8000000      7900000       180000
high_10       1.000000   0.000000   3000000   4000000      7920000       180000
low_20        1.000000   0.000000   8000000   8500000      8180000       180000
high_20       1.000000   0.000000   8000000   8500000      8360000       180000
low_20        1.000000   0.000000   8500000   9000000      8680000       180000
high_20       1.000000   0.000000   8500000   9000000      8860000       180000
low_10        1.000000   0.000000   8000000   9000000      8900000       180000
high_10       1.000000   0.000000   4000000   5000000      9000000       180000
low_20        1.000000   0.000000   9000000   9500000      9180000       180000
high_20       1.000000   0.000000   9000000   9500000      9360000       180000
low_20        1.000000   0.000000   9500000  10000000      9680000       180000
high_20       1.000000   0.000000   9500000  10000000      9860000       180000
low_10        1.000000   0.000000   9000000  10000000      9900000       180000
high_10       1.000000   0.000000   5000000   6000000     10080000       180000
high_10       1.000000   0.000000   6000000   7000000     10260000       180000
high_10       1.000000   0.000000   7000000   8000000     10440000       180000
high_10       1.000000   0.000000   8000000   9000000     10620000       180000
high_10       1.000000   0.000000   9000000  10000000     10800000       180000
low_5         1.000000   0.000000         0   2000000     10980000       180000
low_5         1.000000   0.000000   2000000   4000000     11160000       180000
low_5         1.000000   0.000000   4000000   6000000     11340000       180000
low_5         1.000000   0.000000   6000000   8000000     11520000       180000
low_5         1.000000   0.000000   8000000  10000000     11700000       180000
high_5        1.000000   0.000000         0   2000000     11880000       180000
high_5        1.000000   0.000000   2000000   4000000     12060000       180000
high_5        1.000000   0.000000   4000000   6000000     12240000       180000
high_5        1.000000   0.000000   6000000   8000000     12420000       180000
high_5        1.000000   0.000000   8000000  10000000     12600000       180000
low_1         1.000000   0.000000         0  10000000     12780000       180000
high_1        1.000000   0.000000         0  10000000     12960000       180000
